frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15872866,-0.15872866,-0.1587259,-0.15872866,-0.15872866,0.0,2.7567148e-06,0.0,0.0
2,-0.317449,-0.317449,-0.3174092,-0.317449,-0.317449,0.0,3.9815903e-05,0.0,0.0
3,-0.4761497,-0.4761497,-0.35720837,-0.4761497,-0.4761497,0.0,0.11894134,0.0,0.0
4,-0.634822,-0.634822,-0.36699444,-0.634822,-0.634822,0.0,0.26782757,0.0,0.0
5,-0.79345644,-0.79345644,-0.37691003,-0.79345644,-0.79345644,0.0,0.4165464,0.0,0.0
6,-0.9520436,-0.9520436,-0.3868951,-0.9520436,-0.9520436,0.0,0.5651485,0.0,0.0
7,-1.110574,-1.110574,-0.39064756,-1.110574,-1.110574,0.0,0.7199265,0.0,0.0
8,-1.2690384,-1.2690384,-0.39064756,-1.2690384,-1.2690384,0.0,0.8783909,0.0,0.0
9,-1.4274213,-1.4274213,,-1.4274213,-1.4274213,0.0,,0.0,0.0
10,-1.585725,-1.585725,,-1.585725,-1.585725,0.0,,0.0,0.0
