frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.056297917,-0.056297917,-0.056297917,-0.056297917,-0.056297917,0.0,0.0,0.0,0.0
2,-0.08622825,-0.08622825,-0.08622825,-0.08622825,-0.08622825,0.0,0.0,0.0,0.0
3,-0.1089855,-0.1089855,-0.1089855,-0.1089855,-0.1089855,0.0,0.0,0.0,0.0
4,-0.12874013,-0.12874013,-0.12874013,-0.12874013,-0.12874013,0.0,0.0,0.0,0.0
5,-0.14696439,-0.14696439,-0.14696439,-0.14696439,-0.14696439,0.0,0.0,0.0,0.0
6,-0.16435993,-0.16435993,-0.16435993,-0.16435993,-0.16435993,0.0,0.0,0.0,0.0
7,-0.18133435,-0.18133435,-0.18133436,-0.18133435,-0.18133435,0.0,1.4901161e-08,0.0,0.0
8,-0.1980843,-0.1980843,-0.1980843,-0.1980843,-0.1980843,0.0,0.0,0.0,0.0
9,-0.21478912,-0.21478912,-0.21478912,-0.21478912,-0.21478912,0.0,0.0,0.0,0.0
10,-0.23155986,-0.23155986,-0.23155987,-0.23155986,-0.23155986,0.0,1.4901161e-08,0.0,0.0
11,-0.24845394,-0.24845394,-0.24845394,-0.24845394,-0.24845394,0.0,0.0,0.0,0.0
12,-0.2655154,-0.2655154,-0.26551536,-0.2655154,-0.2655154,0.0,2.9802322e-08,0.0,0.0
13,-0.28276885,-0.28276885,-0.28276885,-0.28276885,-0.28276885,0.0,0.0,0.0,0.0
14,-0.30022573,-0.30022573,-0.30022573,-0.30022573,-0.30022573,0.0,0.0,0.0,0.0
15,-0.31788796,-0.31788796,-0.31788796,-0.31788796,-0.31788796,0.0,0.0,0.0,0.0
16,-0.33575085,-0.33575085,-0.33575085,-0.33575085,-0.33575085,0.0,0.0,0.0,0.0
17,-0.35380512,-0.35380512,-0.35380512,-0.35380512,-0.35380512,0.0,0.0,0.0,0.0
18,-0.37203863,-0.37203863,-0.37203863,-0.37203863,-0.37203863,0.0,0.0,0.0,0.0
19,-0.3904377,-0.3904377,-0.3904377,-0.3904377,-0.3904377,0.0,0.0,0.0,0.0
20,-0.40898794,-0.40898794,-0.40898794,-0.40898794,-0.40898794,0.0,0.0,0.0,0.0
21,-0.4276751,-0.4276751,-0.4276751,-0.4276751,-0.4276751,0.0,0.0,0.0,0.0
22,-0.44648546,-0.44648546,-0.4464855,-0.44648546,-0.44648546,0.0,2.9802322e-08,0.0,0.0
23,-0.46540606,-0.46540606,-0.46540606,-0.46540606,-0.46540606,0.0,0.0,0.0,0.0
24,-0.48442495,-0.48442495,-0.48442495,-0.48442495,-0.48442495,0.0,0.0,0.0,0.0
25,-0.5035312,-0.5035312,-0.5035312,-0.5035312,-0.5035312,0.0,0.0,0.0,0.0
26,-0.52271503,-0.52271503,-0.5227151,-0.52271503,-0.52271503,0.0,5.9604645e-08,0.0,0.0
27,-0.54196763,-0.54196763,-0.54196763,-0.54196763,-0.54196763,0.0,0.0,0.0,0.0
28,-0.561281,-0.561281,-0.561281,-0.561281,-0.561281,0.0,0.0,0.0,0.0
29,-0.5806484,-0.5806484,-0.5806484,-0.5806484,-0.5806484,0.0,0.0,0.0,0.0
30,-0.60006356,-0.60006356,-0.60006356,-0.60006356,-0.60006356,0.0,0.0,0.0,0.0
31,-0.619521,-0.619521,-0.619521,-0.619521,-0.619521,0.0,0.0,0.0,0.0
32,-0.6390161,-0.6390161,-0.63901603,-0.6390161,-0.6390161,0.0,5.9604645e-08,0.0,0.0
33,-0.6585445,-0.6585445,-0.6585445,-0.6585445,-0.6585445,0.0,0.0,0.0,0.0
34,-0.6781026,-0.6781026,-0.67810255,-0.6781026,-0.6781026,0.0,5.9604645e-08,0.0,0.0
35,-0.6976871,-0.6976871,-0.6976871,-0.6976871,-0.6976871,0.0,0.0,0.0,0.0
36,-0.71729517,-0.71729517,-0.71729517,-0.71729517,-0.71729517,0.0,0.0,0.0,0.0
37,-0.7369243,-0.7369243,-0.7369243,-0.7369243,-0.7369243,0.0,0.0,0.0,0.0
38,-0.7565722,-0.7565722,-0.7565722,-0.7565722,-0.7565722,0.0,0.0,0.0,0.0
39,-0.776237,-0.776237,-0.776237,-0.776237,-0.776237,0.0,0.0,0.0,0.0
40,-0.7959169,-0.7959169,-0.7959169,-0.7959169,-0.7959169,0.0,0.0,0.0,0.0
