frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15872924,-0.15872926,-0.15873544,-0.15872926,-0.15872926,1.4901161e-08,6.198883e-06,1.4901161e-08,1.4901161e-08
2,-0.31745377,-0.31745377,-0.19843514,-0.31745377,-0.31745377,0.0,0.11901863,0.0,0.0
3,-0.47616577,-0.47616577,-0.21830112,-0.47616577,-0.47616574,0.0,0.25786465,0.0,2.9802322e-08
4,-0.63486,-0.63486,-0.22323316,-0.63486,-0.63486,0.0,0.41162682,0.0,0.0
5,-0.79353046,-0.79353046,-0.22818395,-0.79353046,-0.79353046,0.0,0.5653465,0.0,0.0
6,-0.9521714,-0.9521714,-0.23315218,-0.9521714,-0.9521714,0.0,0.7190192,0.0,0.0
7,-1.1107768,-1.1107768,-0.23501448,-1.1107768,-1.1107768,0.0,0.8757623,0.0,0.0
8,-1.2693408,-1.2693408,-0.23501448,-1.2693408,-1.2693408,0.0,1.0343263,0.0,0.0
9,-1.4278507,-1.4278507,,-1.4278507,-1.4278507,0.0,,0.0,0.0
10,-1.5863135,-1.5863135,,-1.5863135,-1.5863135,0.0,,0.0,0.0
