frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.21141106,-0.21141106,-0.21141052,-0.21141106,-0.21141106,0.0,5.364418e-07,0.0,0.0
2,-0.42147624,-0.42147624,-0.4214766,-0.42147624,-0.42147624,0.0,3.5762787e-07,0.0,0.0
3,-0.62893975,-0.62893975,-0.6289409,-0.62893975,-0.62893975,0.0,1.1324883e-06,0.0,0.0
4,-0.8327234,-0.8327234,-0.8327253,-0.8327234,-0.8327234,0.0,1.9073486e-06,0.0,0.0
5,-1.0319672,-1.0319672,-1.0319698,-1.0319672,-1.0319672,0.0,2.6226044e-06,0.0,0.0
6,-1.2260445,-1.2260445,-1.2260478,-1.2260445,-1.2260445,0.0,3.2186508e-06,0.0,0.0
7,-1.4145489,-1.4145489,-1.4145525,-1.4145489,-1.4145489,0.0,3.5762787e-06,0.0,0.0
8,-1.5972645,-1.5972645,-1.5972682,-1.5972645,-1.5972645,0.0,3.695488e-06,0.0,0.0
9,-1.7741286,-1.7741286,-1.7741324,-1.7741286,-1.7741286,0.0,3.8146973e-06,0.0,0.0
10,-1.9451945,-1.9451945,-1.9451983,-1.9451945,-1.9451945,0.0,3.8146973e-06,0.0,0.0
11,-2.1105988,-2.1105988,-2.1106024,-2.1105988,-2.1105988,0.0,3.5762787e-06,0.0,0.0
12,-2.2705328,-2.2705328,-2.2705364,-2.2705328,-2.2705328,0.0,3.5762787e-06,0.0,0.0
13,-2.425223,-2.425223,-2.4252264,-2.425223,-2.425223,0.0,3.33786e-06,0.0,0.0
14,-2.5749133,-2.5749133,-2.5749164,-2.5749133,-2.5749133,0.0,3.0994415e-06,0.0,0.0
15,-2.7198546,-2.7198546,-2.7198575,-2.7198546,-2.7198546,0.0,2.861023e-06,0.0,0.0
16,-2.8602967,-2.8602967,-2.8602993,-2.8602967,-2.8602967,0.0,2.6226044e-06,0.0,0.0
17,-2.9964836,-2.9964836,-2.996486,-2.9964836,-2.9964836,0.0,2.3841858e-06,0.0,0.0
18,-3.128649,-3.128649,-3.1286511,-3.128649,-3.128649,0.0,2.1457672e-06,0.0,0.0
19,-3.2570155,-3.2570155,-3.2570176,-3.2570155,-3.2570155,0.0,2.1457672e-06,0.0,0.0
20,-3.3817935,-3.3817935,-3.3817952,-3.3817935,-3.3817935,0.0,1.66893e-06,0.0,0.0
21,-3.5031798,-3.5031798,-3.5031812,-3.5031798,-3.5031798,0.0,1.4305115e-06,0.0,0.0
22,-3.621359,-3.621359,-3.6213605,-3.621359,-3.621359,0.0,1.4305115e-06,0.0,0.0
23,-3.736504,-3.736504,-3.7365053,-3.736504,-3.736504,0.0,1.1920929e-06,0.0,0.0
24,-3.8487754,-3.8487754,-3.8487763,-3.8487754,-3.8487754,0.0,9.536743e-07,0.0,0.0
25,-3.9583225,-3.9583225,-3.9583232,-3.9583225,-3.9583225,0.0,7.1525574e-07,0.0,0.0
26,-4.0652847,-4.0652847,-4.0652857,-4.0652847,-4.0652847,0.0,9.536743e-07,0.0,0.0
27,-4.169792,-4.169792,-4.1697927,-4.169792,-4.169792,0.0,4.7683716e-07,0.0,0.0
28,-4.2719655,-4.2719655,-4.271966,-4.2719655,-4.2719655,0.0,4.7683716e-07,0.0,0.0
29,-4.371916,-4.371916,-4.3719177,-4.371916,-4.371916,0.0,1.9073486e-06,0.0,0.0
30,-4.4697514,-4.4697514,-4.4697533,-4.4697514,-4.4697514,0.0,1.9073486e-06,0.0,0.0
