frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15873012,-0.15873012,,-0.15873012,-0.15873012,0.0,,0.0,0.0
2,-0.31746125,-0.31746137,,-0.3174615,-0.3174614,1.1920929e-07,,2.3841858e-07,1.4901161e-07
3,-0.47619122,-0.47619128,,-0.4761916,-0.4761914,5.9604645e-08,,3.874302e-07,1.7881393e-07
4,-0.63492066,-0.6349207,,-0.6349207,-0.6349207,5.9604645e-08,,5.9604645e-08,5.9604645e-08
5,-0.793649,-0.79364896,,-0.7936487,-0.79364884,5.9604645e-08,,2.9802322e-07,1.7881393e-07
6,-0.95237607,-0.95237553,,-0.952376,-0.9523763,5.364418e-07,,5.9604645e-08,2.3841858e-07
7,-1.1111013,-1.1111019,,-1.1111013,-1.1111012,5.9604645e-07,,0.0,1.1920929e-07
8,-1.2698188,-1.2698188,,-1.2698188,-1.2698188,0.0,,0.0,0.0
9,-1.4285394,-1.4285394,,-1.4285394,-1.4285394,0.0,,0.0,0.0
10,-1.5872576,-1.5872576,,-1.5872576,-1.5872576,0.0,,0.0,0.0
