frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15873012,-0.15873012,,-0.15873012,-0.15873012,0.0,,0.0,0.0
2,-0.3174614,-0.3174613,,-0.3174614,-0.31746146,8.940697e-08,,0.0,5.9604645e-08
3,-0.4761913,-0.47619158,,-0.47619152,-0.4761915,2.682209e-07,,2.0861626e-07,1.7881393e-07
4,-0.6349207,-0.6349209,,-0.63492095,-0.63492095,1.7881393e-07,,2.3841858e-07,2.3841858e-07
5,-0.7936493,-0.7936493,,-0.7936492,-0.7936493,0.0,,1.1920929e-07,0.0
6,-0.9523761,-0.95237666,,-0.95237666,-0.95237607,5.364418e-07,,5.364418e-07,5.9604645e-08
7,-1.1111019,-1.1111021,,-1.1111022,-1.1111022,2.3841858e-07,,3.5762787e-07,3.5762787e-07
8,-1.2698202,-1.2698202,,-1.2698202,-1.2698202,0.0,,0.0,0.0
9,-1.4285414,-1.4285414,,-1.4285414,-1.4285414,0.0,,0.0,0.0
10,-1.5872604,-1.5872604,,-1.5872604,-1.5872604,0.0,,0.0,0.0
