frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.2721803,-0.2721803,-0.27218014,-0.2721803,-0.2721803,0.0,1.4901161e-07,0.0,0.0
2,-0.49362904,-0.49362904,-0.49362347,-0.49362904,-0.49362904,0.0,5.5730343e-06,0.0,0.0
3,-0.6707759,-0.6707759,-0.67077255,-0.6707759,-0.6707759,0.0,3.33786e-06,0.0,0.0
4,-0.8167231,-0.8167231,-0.8167221,-0.8167231,-0.8167231,0.0,1.013279e-06,0.0,0.0
5,-0.9417608,-0.9417608,-0.94176054,-0.9417608,-0.9417608,0.0,2.3841858e-07,0.0,0.0
6,-1.0516654,-1.0516654,-1.0516653,-1.0516654,-1.0516654,0.0,1.1920929e-07,0.0,0.0
7,-1.1501112,-1.1501112,-1.1501111,-1.1501112,-1.1501112,0.0,1.1920929e-07,0.0,0.0
8,-1.239578,-1.239578,-1.239578,-1.239578,-1.239578,0.0,0.0,0.0,0.0
9,-1.3218071,-1.3218071,-1.3218071,-1.3218071,-1.3218071,0.0,0.0,0.0,0.0
10,-1.3980666,-1.3980666,-1.3980666,-1.3980666,-1.3980666,0.0,0.0,0.0,0.0
11,-1.4693091,-1.4693091,-1.4693091,-1.4693091,-1.4693091,0.0,0.0,0.0,0.0
12,-1.5362691,-1.5362691,-1.5362691,-1.5362691,-1.5362691,0.0,0.0,0.0,0.0
13,-1.5995252,-1.5995252,-1.5995252,-1.5995252,-1.5995252,0.0,0.0,0.0,0.0
14,-1.6595433,-1.6595433,-1.659543,-1.6595433,-1.6595433,0.0,2.3841858e-07,0.0,0.0
15,-1.7167004,-1.7167004,-1.7167002,-1.7167004,-1.7167004,0.0,2.3841858e-07,0.0,0.0
16,-1.7719818,-1.7719818,-1.7719816,-1.7719818,-1.7719818,0.0,2.3841858e-07,0.0,0.0
17,-1.8236392,-1.8236392,-1.823639,-1.8236392,-1.8236392,0.0,1.1920929e-07,0.0,0.0
18,-1.8741915,-1.8741915,-1.8741913,-1.8741915,-1.8741915,0.0,2.3841858e-07,0.0,0.0
19,-1.9227926,-1.9227926,-1.9227922,-1.9227926,-1.9227926,0.0,3.5762787e-07,0.0,0.0
20,-1.9689853,-1.9689853,-1.9689853,-1.9689853,-1.9689853,0.0,0.0,0.0,0.0
21,-2.0142746,-2.0142746,-2.0142744,-2.0142746,-2.0142746,0.0,2.3841858e-07,0.0,0.0
22,-2.0580611,-2.0580611,-2.0580606,-2.0580611,-2.0580611,0.0,4.7683716e-07,0.0,0.0
