inc,u2_exact,u2_hd,u2_fd,u2_cs,err_hd,err_fd,err_cs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.007936028,-0.007936028,-0.007936023,-0.007936028,0.0,4.656613e-09,0.0
2,-0.015869226,-0.015869226,-0.015869228,-0.015869226,0.0,1.8626451e-09,0.0
3,-0.02379655,-0.02379655,-0.02379654,-0.02379655,0.0,1.1175871e-08,0.0
4,-0.031715058,-0.031715058,-0.031715043,-0.031715058,0.0,1.4901161e-08,0.0
5,-0.039621864,-0.039621864,-0.03962186,-0.039621864,0.0,3.7252903e-09,0.0
6,-0.04751414,-0.04751414,-0.04751413,-0.04751414,0.0,1.1175871e-08,0.0
7,-0.055389117,-0.055389117,-0.05538911,-0.055389117,0.0,7.450581e-09,0.0
8,-0.0632441,-0.0632441,-0.06324409,-0.0632441,0.0,7.450581e-09,0.0
9,-0.07107645,-0.07107645,-0.071076445,-0.07107645,0.0,7.450581e-09,0.0
10,-0.07888366,-0.07888366,-0.07888365,-0.07888366,0.0,1.4901161e-08,0.0
11,-0.08666329,-0.08666329,-0.08666329,-0.08666329,0.0,0.0,0.0
12,-0.09441301,-0.09441301,-0.094413005,-0.09441301,0.0,7.450581e-09,0.0
13,-0.1021306,-0.1021306,-0.10213059,-0.1021306,0.0,7.450581e-09,0.0
14,-0.10981396,-0.10981396,-0.10981395,-0.10981396,0.0,7.450581e-09,0.0
15,-0.11746109,-0.11746109,-0.117461085,-0.11746109,0.0,7.450581e-09,0.0
16,-0.12507015,-0.12507015,-0.12507014,-0.12507015,0.0,1.4901161e-08,0.0
17,-0.13263936,-0.13263936,-0.13263935,-0.13263936,0.0,1.4901161e-08,0.0
18,-0.14016715,-0.14016715,-0.14016713,-0.14016715,0.0,1.4901161e-08,0.0
19,-0.14765197,-0.14765197,-0.14765196,-0.14765197,0.0,1.4901161e-08,0.0
20,-0.15509246,-0.15509246,-0.15509246,-0.15509246,0.0,0.0,0.0
