frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15873012,-0.15873012,,-0.15873012,-0.15873012,0.0,,0.0,0.0
2,-0.31746146,-0.31746152,,-0.3174614,-0.31746143,5.9604645e-08,,5.9604645e-08,2.9802322e-08
3,-0.47619134,-0.4761916,,-0.4761916,-0.47619155,2.682209e-07,,2.682209e-07,2.0861626e-07
4,-0.63492113,-0.6349209,,-0.6349213,-0.6349211,2.3841858e-07,,1.7881393e-07,5.9604645e-08
5,-0.7936496,-0.7936494,,-0.7936498,-0.79365003,2.3841858e-07,,1.7881393e-07,4.172325e-07
6,-0.95237744,-0.9523774,,-0.9523772,-0.9523774,5.9604645e-08,,2.3841858e-07,5.9604645e-08
7,-1.1111027,-1.1111027,,-1.1111028,-1.1111023,0.0,,1.1920929e-07,3.5762787e-07
8,-1.2698215,-1.2698215,,-1.2698215,-1.2698215,0.0,,0.0,0.0
9,-1.4285432,-1.4285432,,-1.4285432,-1.4285432,0.0,,0.0,0.0
10,-1.587263,-1.587263,,-1.587263,-1.587263,0.0,,0.0,0.0
