frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.34694248,-0.34694248,-0.34694245,-0.34694248,-0.34694248,0.0,2.9802322e-08,0.0,0.0
2,-0.5100587,-0.5100587,-0.5100587,-0.5100587,-0.5100587,0.0,0.0,0.0,0.0
3,-0.62486666,-0.62486666,-0.62486666,-0.62486666,-0.62486666,0.0,0.0,0.0,0.0
4,-0.7171733,-0.7171733,-0.7171733,-0.7171733,-0.7171733,0.0,0.0,0.0,0.0
5,-0.8325644,-0.8325644,-0.8325644,-0.8325644,-0.8325644,0.0,0.0,0.0,0.0
6,-0.9622782,-0.9622782,-0.9622782,-0.9622782,-0.9622782,0.0,0.0,0.0,0.0
7,-1.0765527,-1.0765527,-1.0765527,-1.0765527,-1.0765527,0.0,0.0,0.0,0.0
8,-1.1820191,-1.1820191,-1.1820191,-1.1820191,-1.1820191,0.0,0.0,0.0,0.0
9,-1.282434,-1.282434,-1.282434,-1.282434,-1.282434,0.0,0.0,0.0,0.0
10,-1.3802122,-1.3802122,-1.3802122,-1.3802122,-1.3802122,0.0,0.0,0.0,0.0
11,-1.4770385,-1.4770385,-1.4770385,-1.4770385,-1.4770385,0.0,0.0,0.0,0.0
12,-1.5741383,-1.5741383,-1.5741383,-1.5741383,-1.5741383,0.0,0.0,0.0,0.0
13,-1.5985318,-1.5985318,-1.5985318,-1.5985318,-1.5985318,0.0,0.0,0.0,0.0
