inc,u2_exact,u2_hd,u2_fd,u2_cs,err_hd,err_fd,err_cs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.007936387,-0.007936387,-0.007936375,-0.007936387,0.0,1.21071935e-08,0.0
2,-0.015872065,-0.015872065,-0.015872039,-0.015872065,0.0,2.6077032e-08,0.0
3,-0.023806268,-0.023806268,-0.023806237,-0.023806268,0.0,3.1664968e-08,0.0
4,-0.03173825,-0.03173825,-0.031738218,-0.03173825,0.0,3.3527613e-08,0.0
5,-0.03966728,-0.03966728,-0.039667245,-0.03966728,0.0,3.3527613e-08,0.0
6,-0.047592614,-0.047592614,-0.047592588,-0.047592614,0.0,2.6077032e-08,0.0
7,-0.055513535,-0.055513535,-0.05551349,-0.055513535,0.0,4.4703484e-08,0.0
8,-0.06342931,-0.06342931,-0.06342927,-0.06342931,0.0,3.7252903e-08,0.0
9,-0.07133923,-0.07133923,-0.0713392,-0.07133923,0.0,2.9802322e-08,0.0
10,-0.07924257,-0.07924257,-0.079242535,-0.07924257,0.0,3.7252903e-08,0.0
11,-0.08713864,-0.08713864,-0.08713859,-0.08713864,0.0,4.4703484e-08,0.0
12,-0.09502672,-0.09502672,-0.09502669,-0.09502672,0.0,2.9802322e-08,0.0
13,-0.10290614,-0.10290614,-0.10290609,-0.10290614,0.0,4.4703484e-08,0.0
14,-0.1107762,-0.1107762,-0.11077617,-0.1107762,0.0,2.9802322e-08,0.0
15,-0.11863625,-0.11863625,-0.11863621,-0.11863625,0.0,3.7252903e-08,0.0
16,-0.12648562,-0.12648562,-0.12648557,-0.12648562,0.0,4.4703484e-08,0.0
17,-0.13432364,-0.13432364,-0.13432361,-0.13432364,0.0,2.9802322e-08,0.0
18,-0.1421497,-0.1421497,-0.14214967,-0.1421497,0.0,2.9802322e-08,0.0
19,-0.14996316,-0.14996316,-0.14996313,-0.14996316,0.0,2.9802322e-08,0.0
20,-0.1577634,-0.1577634,-0.15776336,-0.1577634,0.0,4.4703484e-08,0.0
