frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15872052,-0.15872052,-0.15872048,-0.15872052,-0.15872052,0.0,4.4703484e-08,0.0,0.0
2,-0.31738368,-0.31738368,-0.3173829,-0.31738368,-0.31738368,0.0,7.748604e-07,0.0,0.0
3,-0.4759302,-0.4759302,-0.47592953,-0.4759302,-0.4759302,0.0,6.854534e-07,0.0,0.0
4,-0.63430345,-0.63430345,-0.63430303,-0.63430345,-0.63430345,0.0,4.172325e-07,0.0,0.0
5,-0.79244673,-0.79244673,-0.79244685,-0.79244673,-0.79244673,0.0,1.1920929e-07,0.0,0.0
6,-0.9503044,-0.9503044,-0.95030546,-0.9503044,-0.9503044,0.0,1.0728836e-06,0.0,0.0
7,-1.1078218,-1.1078218,-1.1078191,-1.1078218,-1.1078218,0.0,2.7418137e-06,0.0,0.0
8,-1.264946,-1.264946,-1.264942,-1.264946,-1.264946,0.0,3.9339066e-06,0.0,0.0
9,-1.4216251,-1.4216251,-1.4216195,-1.4216251,-1.4216251,0.0,5.6028366e-06,0.0,0.0
10,-1.5778096,-1.5778096,-1.5778015,-1.5778096,-1.5778096,0.0,8.106232e-06,0.0,0.0
