inc,u2_exact,u2_hd,u2_fd,u2_cs,err_hd,err_fd,err_cs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.07934532,-0.07934532,-0.079345316,-0.07934532,0.0,7.450581e-09,0.0
2,-0.15857245,-0.15857245,-0.15857229,-0.15857245,0.0,1.6391277e-07,0.0
3,-0.23756532,-0.23756532,-0.23756479,-0.23756532,0.0,5.364418e-07,0.0
4,-0.31621173,-0.31621173,-0.3162119,-0.31621173,0.0,1.7881393e-07,0.0
5,-0.39440536,-0.39440536,-0.3944054,-0.39440536,0.0,2.9802322e-08,0.0
6,-0.47204643,-0.47204643,-0.47204646,-0.47204643,0.0,2.9802322e-08,0.0
7,-0.54904395,-0.54904395,-0.54904395,-0.54904395,0.0,0.0,0.0
8,-0.62531596,-0.62531596,-0.62531596,-0.62531596,0.0,0.0,0.0
9,-0.70079005,-0.70079005,-0.70079005,-0.70079005,0.0,0.0,0.0
10,-0.7754036,-0.7754036,-0.7754037,-0.7754036,0.0,5.9604645e-08,0.0
