frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.039681572,-0.039681572,-0.03968158,-0.039681572,-0.039681572,0.0,7.450581e-09,0.0,0.0
2,-0.079357356,-0.079357356,-0.07935737,-0.079357356,-0.079357356,0.0,1.4901161e-08,0.0,0.0
3,-0.119021565,-0.119021565,-0.11902157,-0.119021565,-0.119021565,0.0,7.450581e-09,0.0,0.0
4,-0.15866844,-0.15866844,-0.15866844,-0.15866844,-0.15866844,0.0,0.0,0.0,0.0
5,-0.19829226,-0.19829226,-0.19829223,-0.19829226,-0.19829226,0.0,2.9802322e-08,0.0,0.0
6,-0.23790029,-0.23790029,-0.23788725,-0.23790029,-0.23790029,0.0,1.3038516e-05,0.0,0.0
7,-0.27747828,-0.27747828,-0.27744785,-0.27747828,-0.27747828,0.0,3.0428171e-05,0.0,0.0
8,-0.31701374,-0.31701374,-0.31696844,-0.31701374,-0.31701374,0.0,4.529953e-05,0.0,0.0
9,-0.35649836,-0.35649836,-0.35644352,-0.35649836,-0.35649836,0.0,5.4836273e-05,0.0,0.0
10,-0.39592734,-0.39592734,-0.39586762,-0.39592734,-0.39592734,0.0,5.9723854e-05,0.0,0.0
11,-0.43529764,-0.43529764,-0.435255,-0.43529764,-0.43529764,0.0,4.2647123e-05,0.0,0.0
12,-0.47460628,-0.47460628,-0.47458646,-0.47460628,-0.47460628,0.0,1.9818544e-05,0.0,0.0
13,-0.5138493,-0.5138493,-0.5138451,-0.5138493,-0.5138493,0.0,4.23193e-06,0.0,0.0
14,-0.5530217,-0.5530217,-0.55302197,-0.5530217,-0.5530217,0.0,2.3841858e-07,0.0,0.0
15,-0.59211797,-0.59211797,-0.5921144,-0.59211797,-0.59211797,0.0,3.5762787e-06,0.0,0.0
16,-0.6311325,-0.6311325,-0.6311222,-0.6311325,-0.6311325,0.0,1.0311604e-05,0.0,0.0
17,-0.67006,-0.67006,-0.6700444,-0.67006,-0.67006,0.0,1.5556812e-05,0.0,0.0
18,-0.70889586,-0.70889586,-0.70887804,-0.70889586,-0.70889586,0.0,1.7821789e-05,0.0,0.0
19,-0.74763566,-0.74763566,-0.7476184,-0.74763566,-0.74763566,0.0,1.7285347e-05,0.0,0.0
20,-0.7862754,-0.7862754,-0.78625983,-0.7862754,-0.7862754,0.0,1.5556812e-05,0.0,0.0
21,-0.82481086,-0.82481086,-0.8247969,-0.82481086,-0.82481086,0.0,1.3947487e-05,0.0,0.0
22,-0.86323816,-0.86323816,-0.863225,-0.86323816,-0.86323816,0.0,1.31726265e-05,0.0,0.0
23,-0.9015534,-0.9015534,-0.9015401,-0.9015534,-0.9015534,0.0,1.3291836e-05,0.0,0.0
24,-0.9397527,-0.9397527,-0.9397389,-0.9397527,-0.9397527,0.0,1.3768673e-05,0.0,0.0
25,-0.97783244,-0.97783244,-0.97781813,-0.97783244,-0.97783244,0.0,1.4305115e-05,0.0,0.0
26,-1.015789,-1.015789,-1.0157745,-1.015789,-1.015789,0.0,1.4543533e-05,0.0,0.0
27,-1.0536194,-1.0536194,-1.0536047,-1.0536194,-1.0536194,0.0,1.4662743e-05,0.0,0.0
28,-1.0913202,-1.0913202,-1.0913056,-1.0913202,-1.0913202,0.0,1.4543533e-05,0.0,0.0
29,-1.1288885,-1.1288885,-1.1288741,-1.1288885,-1.1288885,0.0,1.4424324e-05,0.0,0.0
30,-1.1663214,-1.1663214,-1.1663071,-1.1663214,-1.1663214,0.0,1.4305115e-05,0.0,0.0
31,-1.2036164,-1.2036164,-1.203602,-1.2036164,-1.2036164,0.0,1.4424324e-05,0.0,0.0
32,-1.2407706,-1.2407706,-1.2407562,-1.2407706,-1.2407706,0.0,1.4424324e-05,0.0,0.0
33,-1.277782,-1.277782,-1.2777674,-1.277782,-1.277782,0.0,1.4543533e-05,0.0,0.0
34,-1.3146479,-1.3146479,-1.3146334,-1.3146479,-1.3146479,0.0,1.4543533e-05,0.0,0.0
35,-1.3513665,-1.3513665,-1.351352,-1.3513665,-1.3513665,0.0,1.4543533e-05,0.0,0.0
36,-1.3879356,-1.3879356,-1.3879212,-1.3879356,-1.3879356,0.0,1.4424324e-05,0.0,0.0
37,-1.4243536,-1.4243536,-1.4243392,-1.4243536,-1.4243536,0.0,1.4424324e-05,0.0,0.0
38,-1.4606186,-1.4606186,-1.4606042,-1.4606186,-1.4606186,0.0,1.4424324e-05,0.0,0.0
39,-1.4967291,-1.4967291,-1.4967147,-1.4967291,-1.4967291,0.0,1.4424324e-05,0.0,0.0
40,-1.5326836,-1.5326836,-1.5326692,-1.5326836,-1.5326836,0.0,1.4424324e-05,0.0,0.0
41,-1.5684807,-1.5684807,-1.5684663,-1.5684807,-1.5684807,0.0,1.4424324e-05,0.0,0.0
42,-1.6041193,-1.6041193,-1.604105,-1.6041193,-1.6041193,0.0,1.4305115e-05,0.0,0.0
43,-1.6395984,-1.6395984,-1.6395841,-1.6395984,-1.6395984,0.0,1.4305115e-05,0.0,0.0
44,-1.6749169,-1.6749169,-1.6749026,-1.6749169,-1.6749169,0.0,1.4305115e-05,0.0,0.0
45,-1.7100738,-1.7100738,-1.7100596,-1.7100738,-1.7100738,0.0,1.41859055e-05,0.0,0.0
46,-1.7450686,-1.7450686,-1.7450545,-1.7450686,-1.7450686,0.0,1.4066696e-05,0.0,0.0
47,-1.7799004,-1.7799004,-1.7798864,-1.7799004,-1.7799004,0.0,1.4066696e-05,0.0,0.0
48,-1.8145689,-1.8145689,-1.8145549,-1.8145689,-1.8145689,0.0,1.3947487e-05,0.0,0.0
49,-1.8490735,-1.8490735,-1.8490596,-1.8490735,-1.8490735,0.0,1.3947487e-05,0.0,0.0
50,-1.8834138,-1.8834138,-1.8834,-1.8834138,-1.8834138,0.0,1.3828278e-05,0.0,0.0
51,-1.9175895,-1.9175895,-1.9175758,-1.9175895,-1.9175895,0.0,1.3709068e-05,0.0,0.0
52,-1.9516007,-1.9516007,-1.9515871,-1.9516007,-1.9516007,0.0,1.3589859e-05,0.0,0.0
53,-1.9854468,-1.9854468,-1.9854333,-1.9854468,-1.9854468,0.0,1.347065e-05,0.0,0.0
54,-2.019128,-2.019128,-2.0191147,-2.019128,-2.019128,0.0,1.335144e-05,0.0,0.0
55,-2.0526445,-2.0526445,-2.0526314,-2.0526445,-2.0526445,0.0,1.3113022e-05,0.0,0.0
56,-2.0859964,-2.0859964,-2.085983,-2.0859964,-2.0859964,0.0,1.335144e-05,0.0,0.0
57,-2.1191835,-2.1191835,-2.1191704,-2.1191835,-2.1191835,0.0,1.3113022e-05,0.0,0.0
58,-2.1522062,-2.1522062,-2.1521933,-2.1522062,-2.1522062,0.0,1.2874603e-05,0.0,0.0
59,-2.185065,-2.185065,-2.1850522,-2.185065,-2.185065,0.0,1.2874603e-05,0.0,0.0
60,-2.21776,-2.21776,-2.2177474,-2.21776,-2.21776,0.0,1.2636185e-05,0.0,0.0
61,-2.2502918,-2.2502918,-2.2502794,-2.2502918,-2.2502918,0.0,1.2397766e-05,0.0,0.0
62,-2.282661,-2.282661,-2.2826486,-2.282661,-2.282661,0.0,1.2397766e-05,0.0,0.0
63,-2.3148675,-2.3148675,-2.3148553,-2.3148675,-2.3148675,0.0,1.21593475e-05,0.0,0.0
64,-2.3469126,-2.3469126,-2.3469002,-2.3469126,-2.3469126,0.0,1.2397766e-05,0.0,0.0
65,-2.3787963,-2.3787963,-2.3787842,-2.3787963,-2.3787963,0.0,1.21593475e-05,0.0,0.0
66,-2.4105196,-2.4105196,-2.4105077,-2.4105196,-2.4105196,0.0,1.1920929e-05,0.0,0.0
67,-2.4420831,-2.4420831,-2.4420712,-2.4420831,-2.4420831,0.0,1.1920929e-05,0.0,0.0
68,-2.4734874,-2.4734874,-2.4734757,-2.4734874,-2.4734874,0.0,1.168251e-05,0.0,0.0
69,-2.5047333,-2.5047333,-2.5047219,-2.5047333,-2.5047333,0.0,1.1444092e-05,0.0,0.0
70,-2.5358217,-2.5358217,-2.5358105,-2.5358217,-2.5358217,0.0,1.1205673e-05,0.0,0.0
71,-2.5667534,-2.5667534,-2.5667422,-2.5667534,-2.5667534,0.0,1.1205673e-05,0.0,0.0
72,-2.597529,-2.597529,-2.597518,-2.597529,-2.597529,0.0,1.0967255e-05,0.0,0.0
73,-2.6281495,-2.6281495,-2.6281385,-2.6281495,-2.6281495,0.0,1.0967255e-05,0.0,0.0
74,-2.658616,-2.658616,-2.658605,-2.658616,-2.658616,0.0,1.0967255e-05,0.0,0.0
75,-2.688929,-2.688929,-2.6889184,-2.688929,-2.688929,0.0,1.0728836e-05,0.0,0.0
76,-2.7190897,-2.7190897,-2.719079,-2.7190897,-2.7190897,0.0,1.0728836e-05,0.0,0.0
77,-2.749099,-2.749099,-2.7490885,-2.749099,-2.749099,0.0,1.04904175e-05,0.0,0.0
78,-2.7789578,-2.7789578,-2.7789474,-2.7789578,-2.7789578,0.0,1.04904175e-05,0.0,0.0
79,-2.808667,-2.808667,-2.808657,-2.808667,-2.808667,0.0,1.001358e-05,0.0,0.0
80,-2.8382277,-2.8382277,-2.8382177,-2.8382277,-2.8382277,0.0,1.001358e-05,0.0,0.0
