frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.24813396,-0.24813396,-0.24813394,-0.24813396,-0.24813396,0.0,1.4901161e-08,0.0,0.0
2,-0.4694045,-0.4694045,-0.46940458,-0.4694045,-0.4694045,0.0,8.940697e-08,0.0,0.0
3,-0.6584355,-0.6584355,-0.65843153,-0.6584355,-0.6584355,0.0,3.993511e-06,0.0,0.0
4,-0.8207862,-0.8207862,-0.82078415,-0.8207862,-0.8207862,0.0,2.026558e-06,0.0,0.0
5,-0.9625325,-0.9625325,-0.9625317,-0.9625325,-0.9625325,0.0,8.34465e-07,0.0,0.0
6,-1.088504,-1.088504,-1.0885037,-1.088504,-1.088504,0.0,2.3841858e-07,0.0,0.0
7,-1.202115,-1.202115,-1.2021149,-1.202115,-1.202115,0.0,1.1920929e-07,0.0,0.0
8,-1.3058133,-1.3058133,-1.3058133,-1.3058133,-1.3058133,0.0,0.0,0.0,0.0
9,-1.4013928,-1.4013928,-1.4013928,-1.4013928,-1.4013928,0.0,0.0,0.0,0.0
10,-1.4901997,-1.4901997,-1.4901997,-1.4901997,-1.4901997,0.0,0.0,0.0,0.0
11,-1.5732671,-1.5732671,-1.5732671,-1.5732671,-1.5732671,0.0,0.0,0.0,0.0
12,-1.6514041,-1.6514041,-1.6514041,-1.6514041,-1.6514041,0.0,0.0,0.0,0.0
13,-1.7252562,-1.7252562,-1.7252562,-1.7252562,-1.7252562,0.0,0.0,0.0,0.0
14,-1.7953466,-1.7953466,-1.7953466,-1.7953466,-1.7953466,0.0,0.0,0.0,0.0
15,-1.8621055,-1.8621055,-1.8621055,-1.8621055,-1.8621055,0.0,0.0,0.0,0.0
16,-1.9270762,-1.9270762,-1.9270755,-1.9270762,-1.9270762,0.0,7.1525574e-07,0.0,0.0
17,-1.9870036,-1.9870036,-1.9870036,-1.9870036,-1.9870036,0.0,0.0,0.0,0.0
18,-2.0460835,-2.0460835,-2.0460832,-2.0460835,-2.0460835,0.0,2.3841858e-07,0.0,0.0
19,-2.1031508,-2.1031508,-2.10315,-2.1031508,-2.1031508,0.0,9.536743e-07,0.0,0.0
20,-2.1566947,-2.1566947,-2.1566942,-2.1566947,-2.1566947,0.0,4.7683716e-07,0.0,0.0
21,-2.2095618,-2.2095618,-2.2095616,-2.2095618,-2.2095618,0.0,2.3841858e-07,0.0,0.0
22,-2.2608433,-2.2608433,-2.2608426,-2.2608433,-2.2608433,0.0,7.1525574e-07,0.0,0.0
23,-2.3102772,-2.3102772,-2.3102763,-2.3102772,-2.3102772,0.0,9.536743e-07,0.0,0.0
24,-2.3580856,-2.3580856,-2.3580847,-2.3580856,-2.3580856,0.0,9.536743e-07,0.0,0.0
25,-2.4045444,-2.4045444,-2.4045436,-2.4045444,-2.4045444,0.0,7.1525574e-07,0.0,0.0
26,-2.4497936,-2.4497936,-2.449793,-2.4497936,-2.4497936,0.0,4.7683716e-07,0.0,0.0
27,-2.493889,-2.493889,-2.4938886,-2.493889,-2.493889,0.0,4.7683716e-07,0.0,0.0
28,-2.5368795,-2.5368795,-2.536879,-2.5368795,-2.5368795,0.0,4.7683716e-07,0.0,0.0
29,-2.5788264,-2.5788264,-2.578826,-2.5788264,-2.5788264,0.0,4.7683716e-07,0.0,0.0
30,-2.6197927,-2.6197927,-2.6197922,-2.6197927,-2.6197927,0.0,4.7683716e-07,0.0,0.0
31,-2.6598344,-2.6598344,-2.659834,-2.6598344,-2.6598344,0.0,4.7683716e-07,0.0,0.0
32,-2.699001,-2.699001,-2.6990006,-2.699001,-2.699001,0.0,4.7683716e-07,0.0,0.0
33,-2.737338,-2.737338,-2.7373376,-2.737338,-2.737338,0.0,4.7683716e-07,0.0,0.0
34,-2.7748868,-2.7748868,-2.7748866,-2.7748868,-2.7748868,0.0,2.3841858e-07,0.0,0.0
35,-2.8116868,-2.8116868,-2.8116865,-2.8116868,-2.8116868,0.0,2.3841858e-07,0.0,0.0
36,-2.8477733,-2.8477733,-2.847773,-2.8477733,-2.8477733,0.0,2.3841858e-07,0.0,0.0
37,-2.88318,-2.88318,-2.8831797,-2.88318,-2.88318,0.0,2.3841858e-07,0.0,0.0
38,-2.917937,-2.917937,-2.9179368,-2.917937,-2.917937,0.0,2.3841858e-07,0.0,0.0
39,-2.9520738,-2.9520738,-2.9520736,-2.9520738,-2.9520738,0.0,2.3841858e-07,0.0,0.0
40,-2.9856167,-2.9856167,-2.9856164,-2.9856167,-2.9856167,0.0,2.3841858e-07,0.0,0.0
41,-3.0185907,-3.0185907,-3.0185905,-3.0185907,-3.0185907,0.0,2.3841858e-07,0.0,0.0
42,-3.051019,-3.051019,-3.0510187,-3.051019,-3.051019,0.0,2.3841858e-07,0.0,0.0
43,-3.082924,-3.082924,-3.0829237,-3.082924,-3.082924,0.0,2.3841858e-07,0.0,0.0
44,-3.1143255,-3.1143255,-3.1143253,-3.1143255,-3.1143255,0.0,2.3841858e-07,0.0,0.0
45,-3.1452432,-3.1452432,-3.145243,-3.1452432,-3.1452432,0.0,2.3841858e-07,0.0,0.0
46,-3.1756952,-3.1756952,-3.1756952,-3.1756952,-3.1756952,0.0,0.0,0.0,0.0
47,-3.2056987,-3.2056987,-3.2056985,-3.2056987,-3.2056987,0.0,2.3841858e-07,0.0,0.0
48,-3.2352695,-3.2352695,-3.2352693,-3.2352695,-3.2352695,0.0,2.3841858e-07,0.0,0.0
49,-3.264423,-3.264423,-3.264423,-3.264423,-3.264423,0.0,0.0,0.0,0.0
50,-3.2931736,-3.2931736,-3.2931733,-3.2931736,-3.2931736,0.0,2.3841858e-07,0.0,0.0
