inc,u2_exact,u2_hd,u2_fd,u2_cs,err_hd,err_fd,err_cs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.039680067,-0.039680067,-0.039680067,-0.039680067,0.0,0.0,0.0
2,-0.07934532,-0.07934532,-0.079345316,-0.07934532,0.0,7.450581e-09,0.0
3,-0.11898101,-0.11898101,-0.11898099,-0.11898101,0.0,2.2351742e-08,0.0
4,-0.15857251,-0.15857251,-0.15857247,-0.15857251,0.0,4.4703484e-08,0.0
5,-0.19810538,-0.19810538,-0.1981053,-0.19810538,0.0,7.4505806e-08,0.0
6,-0.23756543,-0.23756543,-0.23756532,-0.23756543,0.0,1.0430813e-07,0.0
7,-0.27698466,-0.27698466,-0.27693862,-0.27698466,0.0,4.6044588e-05,0.0
8,-0.3163164,-0.3163164,-0.3162117,-0.3163164,0.0,0.00010469556,0.0
9,-0.35552263,-0.35552263,-0.35537142,-0.35552263,0.0,0.00015121698,0.0
10,-0.39458147,-0.39458147,-0.39440507,-0.39458147,0.0,0.00017639995,0.0
11,-0.43348455,-0.43348455,-0.43337053,-0.43348455,0.0,0.000114023685,0.0
12,-0.4722298,-0.4722298,-0.47219932,-0.4722298,0.0,3.0487776e-05,0.0
13,-0.5108146,-0.5108146,-0.5108414,-0.5108146,0.0,2.682209e-05,0.0
14,-0.54923236,-0.54923236,-0.5492757,-0.54923236,0.0,4.3332577e-05,0.0
15,-0.58747274,-0.58747274,-0.5875025,-0.58747274,0.0,2.9742718e-05,0.0
16,-0.6255238,-0.6255238,-0.6255296,-0.6255238,0.0,5.7816505e-06,0.0
17,-0.663374,-0.663374,-0.6633615,-0.663374,0.0,1.2516975e-05,0.0
18,-0.70101386,-0.70101386,-0.7009947,-0.70101386,0.0,1.9192696e-05,0.0
19,-0.7384358,-0.7384358,-0.7384193,-0.7384358,0.0,1.6510487e-05,0.0
20,-0.77563363,-0.77563363,-0.7756236,-0.77563363,0.0,1.001358e-05,0.0
