frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.00031746013,-0.00031746013,-0.00031746013,-0.00031746013,-0.00031746013,0.0,0.0,0.0,0.0
2,-0.0006349191,-0.0006349191,-0.0006349191,-0.0006349191,-0.0006349191,0.0,0.0,0.0,0.0
3,-0.0009523757,-0.0009523757,-0.0009523757,-0.0009523757,-0.0009523757,0.0,0.0,0.0,0.0
4,-0.0012698288,-0.0012698288,-0.0012698288,-0.0012698288,-0.0012698288,0.0,0.0,0.0,0.0
5,-0.0015872773,-0.0015872773,-0.0015872773,-0.0015872773,-0.0015872773,0.0,0.0,0.0,0.0
6,-0.0019047199,-0.0019047199,-0.0019047199,-0.0019047199,-0.0019047199,0.0,0.0,0.0,0.0
7,-0.0022221555,-0.0022221555,-0.0022221555,-0.0022221555,-0.0022221555,0.0,0.0,0.0,0.0
8,-0.0025395828,-0.0025395828,-0.0025395828,-0.0025395828,-0.0025395828,0.0,0.0,0.0,0.0
9,-0.0028570008,-0.0028570008,-0.0028570008,-0.0028570008,-0.0028570008,0.0,0.0,0.0,0.0
10,-0.0031744083,-0.0031744083,-0.0031744083,-0.0031744083,-0.0031744083,0.0,0.0,0.0,0.0
11,-0.0034918042,-0.0034918042,-0.003491804,-0.0034918042,-0.0034918042,0.0,2.3283064e-10,0.0,0.0
12,-0.003809187,-0.003809187,-0.003809187,-0.003809187,-0.003809187,0.0,0.0,0.0,0.0
13,-0.004126556,-0.004126556,-0.004126556,-0.004126556,-0.004126556,0.0,0.0,0.0,0.0
14,-0.00444391,-0.00444391,-0.00444391,-0.00444391,-0.00444391,0.0,0.0,0.0,0.0
15,-0.0047612474,-0.0047612474,-0.0047612474,-0.0047612474,-0.0047612474,0.0,0.0,0.0,0.0
16,-0.005078567,-0.005078567,-0.005078567,-0.005078567,-0.005078567,0.0,0.0,0.0,0.0
17,-0.0053958683,-0.0053958683,-0.0053958683,-0.0053958683,-0.0053958683,0.0,0.0,0.0,0.0
18,-0.00571315,-0.00571315,-0.00571315,-0.00571315,-0.00571315,0.0,0.0,0.0,0.0
19,-0.00603041,-0.00603041,-0.00603041,-0.00603041,-0.00603041,0.0,0.0,0.0,0.0
20,-0.0063476483,-0.0063476483,-0.0063476483,-0.0063476483,-0.0063476483,0.0,0.0,0.0,0.0
21,-0.0066648633,-0.0066648633,-0.0066648633,-0.0066648633,-0.0066648633,0.0,0.0,0.0,0.0
22,-0.0069820536,-0.0069820536,-0.0069820536,-0.0069820536,-0.0069820536,0.0,0.0,0.0,0.0
23,-0.0072992183,-0.0072992183,-0.0072992183,-0.0072992183,-0.0072992183,0.0,0.0,0.0,0.0
24,-0.0076163565,-0.0076163565,-0.0076163565,-0.0076163565,-0.0076163565,0.0,0.0,0.0,0.0
25,-0.007933467,-0.007933467,-0.007933467,-0.007933467,-0.007933467,0.0,0.0,0.0,0.0
26,-0.008250548,-0.008250548,-0.008250548,-0.008250548,-0.008250548,0.0,0.0,0.0,0.0
27,-0.008567598,-0.008567598,-0.008567598,-0.008567598,-0.008567598,0.0,0.0,0.0,0.0
28,-0.008884617,-0.008884617,-0.008884617,-0.008884617,-0.008884617,0.0,0.0,0.0,0.0
29,-0.009201604,-0.009201604,-0.009201604,-0.009201604,-0.009201604,0.0,0.0,0.0,0.0
30,-0.009518557,-0.009518557,-0.009518557,-0.009518557,-0.009518557,0.0,0.0,0.0,0.0
31,-0.009835475,-0.009835475,-0.009835475,-0.009835475,-0.009835475,0.0,0.0,0.0,0.0
32,-0.010152357,-0.010152357,-0.010152357,-0.010152357,-0.010152357,0.0,0.0,0.0,0.0
33,-0.010469202,-0.010469202,-0.010469202,-0.010469202,-0.010469202,0.0,0.0,0.0,0.0
34,-0.010786009,-0.010786009,-0.010786009,-0.010786009,-0.010786009,0.0,0.0,0.0,0.0
35,-0.011102776,-0.011102776,-0.011102776,-0.011102776,-0.011102776,0.0,0.0,0.0,0.0
36,-0.011419503,-0.011419503,-0.011419503,-0.011419503,-0.011419503,0.0,0.0,0.0,0.0
37,-0.011736187,-0.011736187,-0.011736187,-0.011736187,-0.011736187,0.0,0.0,0.0,0.0
38,-0.012052829,-0.012052829,-0.012052829,-0.012052829,-0.012052829,0.0,0.0,0.0,0.0
39,-0.012369428,-0.012369428,-0.012369428,-0.012369428,-0.012369428,0.0,0.0,0.0,0.0
40,-0.012685981,-0.012685981,-0.012685981,-0.012685981,-0.012685981,0.0,0.0,0.0,0.0
41,-0.013002488,-0.013002488,-0.013002488,-0.013002488,-0.013002488,0.0,0.0,0.0,0.0
42,-0.013318947,-0.013318947,-0.013318947,-0.013318947,-0.013318947,0.0,0.0,0.0,0.0
43,-0.013635358,-0.013635358,-0.013635358,-0.013635358,-0.013635358,0.0,0.0,0.0,0.0
44,-0.013951719,-0.013951719,-0.013951719,-0.013951719,-0.013951719,0.0,0.0,0.0,0.0
45,-0.0142680295,-0.0142680295,-0.0142680295,-0.0142680295,-0.0142680295,0.0,0.0,0.0,0.0
46,-0.014584288,-0.014584288,-0.014584288,-0.014584288,-0.014584288,0.0,0.0,0.0,0.0
47,-0.014900493,-0.014900493,-0.014900493,-0.014900493,-0.014900493,0.0,0.0,0.0,0.0
48,-0.015216645,-0.015216645,-0.015216645,-0.015216645,-0.015216645,0.0,0.0,0.0,0.0
49,-0.015532741,-0.015532741,-0.015532741,-0.015532741,-0.015532741,0.0,0.0,0.0,0.0
50,-0.015848782,-0.015848782,-0.015848782,-0.015848782,-0.015848782,0.0,0.0,0.0,0.0
