method,mse,max_error
hd,1.5247698192276828e-17,5.9604645e-08
fd,7.314568398080925e-10,5.5789948e-05
cs,1.5247698192276828e-17,5.9604645e-08
otis,1.5247698192276828e-17,5.9604645e-08
