frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.34351134,-0.34351134,-0.34351137,-0.34351134,-0.34351134,0.0,2.9802322e-08,0.0,0.0
2,-0.60300785,-0.60300785,-0.60300785,-0.60300785,-0.60300785,0.0,0.0,0.0,0.0
3,-0.8019987,-0.8019987,-0.801993,-0.8019987,-0.8019987,0.0,5.6624413e-06,0.0,0.0
4,-0.9632045,-0.9632045,-0.9632031,-0.9632045,-0.9632045,0.0,1.4305115e-06,0.0,0.0
5,-1.1003314,-1.1003314,-1.1003312,-1.1003314,-1.1003314,0.0,2.3841858e-07,0.0,0.0
6,-1.2203763,-1.2203763,-1.2203761,-1.2203763,-1.2203763,0.0,1.1920929e-07,0.0,0.0
7,-1.3276478,-1.3276478,-1.3276478,-1.3276478,-1.3276478,0.0,0.0,0.0,0.0
8,-1.4249947,-1.4249947,-1.4249947,-1.4249947,-1.4249947,0.0,0.0,0.0,0.0
9,-1.5143865,-1.5143865,-1.5143865,-1.5143865,-1.5143865,0.0,0.0,0.0,0.0
10,-1.5972428,-1.5972428,-1.5972428,-1.5972428,-1.5972428,0.0,0.0,0.0,0.0
11,-1.674622,-1.674622,-1.674622,-1.674622,-1.674622,0.0,0.0,0.0,0.0
12,-1.7473359,-1.7473359,-1.7473359,-1.7473359,-1.7473359,0.0,0.0,0.0,0.0
13,-1.8160213,-1.8160213,-1.8160213,-1.8160213,-1.8160213,0.0,0.0,0.0,0.0
14,-1.8811886,-1.8811886,-1.8811884,-1.8811886,-1.8811886,0.0,2.3841858e-07,0.0,0.0
15,-1.9441414,-1.9441414,-1.9441408,-1.9441414,-1.9441414,0.0,5.9604645e-07,0.0,0.0
16,-2.0025523,-2.0025523,-2.002552,-2.0025523,-2.0025523,0.0,2.3841858e-07,0.0,0.0
17,-2.0597265,-2.0597265,-2.0597265,-2.0597265,-2.0597265,0.0,0.0,0.0,0.0
18,-2.1146114,-2.1146114,-2.114611,-2.1146114,-2.1146114,0.0,4.7683716e-07,0.0,0.0
19,-2.166534,-2.166534,-2.166534,-2.166534,-2.166534,0.0,0.0,0.0,0.0
20,-2.217452,-2.217452,-2.217452,-2.217452,-2.217452,0.0,0.0,0.0,0.0
21,-2.2666242,-2.2666242,-2.266624,-2.2666242,-2.2666242,0.0,2.3841858e-07,0.0,0.0
22,-2.314056,-2.314056,-2.3140557,-2.314056,-2.314056,0.0,2.3841858e-07,0.0,0.0
23,-2.3600035,-2.3600035,-2.3600032,-2.3600035,-2.3600035,0.0,2.3841858e-07,0.0,0.0
24,-2.4046419,-2.4046419,-2.4046419,-2.4046419,-2.4046419,0.0,0.0,0.0,0.0
25,-2.4480596,-2.4480596,-2.4480593,-2.4480596,-2.4480596,0.0,2.3841858e-07,0.0,0.0
26,-2.4903255,-2.4903255,-2.4903252,-2.4903255,-2.4903255,0.0,2.3841858e-07,0.0,0.0
27,-2.5315106,-2.5315106,-2.5315104,-2.5315106,-2.5315106,0.0,2.3841858e-07,0.0,0.0
28,-2.571683,-2.571683,-2.571683,-2.571683,-2.571683,0.0,0.0,0.0,0.0
29,-2.6109042,-2.6109042,-2.6109042,-2.6109042,-2.6109042,0.0,0.0,0.0,0.0
30,-2.6492295,-2.6492295,-2.6492293,-2.6492295,-2.6492295,0.0,2.3841858e-07,0.0,0.0
