frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.015867464,-0.015867464,-0.01586747,-0.015867464,-0.015867464,0.0,5.5879354e-09,0.0,0.0
2,-0.031703733,-0.031703733,-0.031703703,-0.031703733,-0.031703733,0.0,2.9802322e-08,0.0,0.0
3,-0.04746971,-0.04746971,-0.04746968,-0.04746971,-0.04746971,0.0,2.9802322e-08,0.0,0.0
4,-0.06312863,-0.06312863,-0.06312859,-0.06312863,-0.06312863,0.0,3.7252903e-08,0.0,0.0
5,-0.07864866,-0.07864866,-0.078648604,-0.07864866,-0.07864866,0.0,5.2154064e-08,0.0,0.0
6,-0.0939694,-0.0939694,-0.09400189,-0.0939694,-0.0939694,0.0,3.2491982e-05,0.0,0.0
7,-0.10915402,-0.10915402,-0.109128304,-0.10915402,-0.10915402,0.0,2.5719404e-05,0.0,0.0
8,-0.12407677,-0.12407677,-0.12410398,-0.12407677,-0.12407677,0.0,2.720952e-05,0.0,0.0
9,-0.13882753,-0.13882753,-0.13879795,-0.13882753,-0.13882753,0.0,2.9578805e-05,0.0,0.0
10,-0.15327871,-0.15327871,-0.15330856,-0.15327871,-0.15327871,0.0,2.9847026e-05,0.0,0.0
11,-0.1675387,-0.1675387,-0.16750926,-0.1675387,-0.1675387,0.0,2.9444695e-05,0.0,0.0
12,-0.18148294,-0.18148294,-0.18151166,-0.18148294,-0.18148294,0.0,2.8714538e-05,0.0,0.0
13,-0.19522355,-0.19522355,-0.1951958,-0.19522355,-0.19522355,0.0,2.7760863e-05,0.0,0.0
14,-0.20864622,-0.20864622,-0.20867269,-0.20864622,-0.20864622,0.0,2.6464462e-05,0.0,0.0
15,-0.22185968,-0.22185968,-0.2218346,-0.22185968,-0.22185968,0.0,2.5078654e-05,0.0,0.0
16,-0.23476298,-0.23476298,-0.23478653,-0.23476298,-0.23476298,0.0,2.3543835e-05,0.0,0.0
17,-0.24745668,-0.24745668,-0.2474636,-0.24745668,-0.24745668,0.0,6.914139e-06,0.0,0.0
18,-0.2598807,-0.2598807,-0.2598797,-0.2598807,-0.2598807,0.0,9.834766e-07,0.0,0.0
19,-0.27204993,-0.27204993,-0.27204916,-0.27204993,-0.27204993,0.0,7.748604e-07,0.0,0.0
