frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.5071959,-0.5071959,-0.507196,-0.5071959,-0.5071959,0.0,1.1920929e-07,0.0,0.0
2,-0.8760453,-0.8760453,-0.8760453,-0.8760453,-0.8760453,0.0,0.0,0.0,0.0
3,-1.1537551,-1.1537551,-1.1537551,-1.1537551,-1.1537551,0.0,0.0,0.0,0.0
4,-1.3781675,-1.3781675,-1.3781606,-1.3781675,-1.3781675,0.0,6.914139e-06,0.0,0.0
5,-1.5682418,-1.5682418,-1.5682402,-1.5682418,-1.5682418,0.0,1.66893e-06,0.0,0.0
6,-1.7342174,-1.7342174,-1.734217,-1.7342174,-1.7342174,0.0,3.5762787e-07,0.0,0.0
7,-1.8823435,-1.8823435,-1.8823434,-1.8823435,-1.8823435,0.0,1.1920929e-07,0.0,0.0
8,-2.0166397,-2.0166397,-2.0166397,-2.0166397,-2.0166397,0.0,0.0,0.0,0.0
9,-2.13987,-2.13987,-2.13987,-2.13987,-2.13987,0.0,0.0,0.0,0.0
10,-2.2540202,-2.2540202,-2.2540202,-2.2540202,-2.2540202,0.0,0.0,0.0,0.0
11,-2.3605688,-2.3605688,-2.3605688,-2.3605688,-2.3605688,0.0,0.0,0.0,0.0
12,-2.4606473,-2.4606473,-2.4606473,-2.4606473,-2.4606473,0.0,0.0,0.0,0.0
13,-2.5551426,-2.5551426,-2.5551426,-2.5551426,-2.5551426,0.0,0.0,0.0,0.0
14,-2.644764,-2.644764,-2.644764,-2.644764,-2.644764,0.0,0.0,0.0,0.0
15,-2.7318573,-2.7318573,-2.7318566,-2.7318573,-2.7318573,0.0,7.1525574e-07,0.0,0.0
16,-2.8115904,-2.8115904,-2.8115904,-2.8115904,-2.8115904,0.0,0.0,0.0,0.0
17,-2.8901649,-2.8901649,-2.8901649,-2.8901649,-2.8901649,0.0,0.0,0.0,0.0
18,-2.9660356,-2.9660356,-2.966035,-2.9660356,-2.9660356,0.0,7.1525574e-07,0.0,0.0
19,-3.036848,-3.036848,-3.0368476,-3.036848,-3.036848,0.0,4.7683716e-07,0.0,0.0
20,-3.10675,-3.10675,-3.1067498,-3.10675,-3.10675,0.0,2.3841858e-07,0.0,0.0
