inc,u2_exact,u2_hd,u2_fd,u2_cs,err_hd,err_fd,err_cs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.03962124,-0.03962124,-0.03962124,-0.03962124,0.0,0.0,0.0
2,-0.07888238,-0.07888238,-0.07888238,-0.07888238,0.0,0.0,0.0
3,-0.117459364,-0.117459364,-0.117459364,-0.117459364,0.0,0.0,0.0
4,-0.15509053,-0.15509053,-0.15509053,-0.15509053,0.0,0.0,0.0
5,-0.19158822,-0.19158822,-0.19158822,-0.19158822,0.0,0.0,0.0
6,-0.22683695,-0.22683695,-0.22683695,-0.22683695,0.0,0.0,0.0
7,-0.26078257,-0.26078257,-0.26078257,-0.26078257,0.0,0.0,0.0
8,-0.29341814,-0.29341814,-0.29341814,-0.29341814,0.0,0.0,0.0
9,-0.32476977,-0.32476977,-0.32476977,-0.32476977,0.0,0.0,0.0
10,-0.354885,-0.354885,-0.354885,-0.354885,0.0,0.0,0.0
11,-0.38382405,-0.38382405,-0.383824,-0.38382405,0.0,5.9604645e-08,0.0
12,-0.4116523,-0.4116523,-0.41165227,-0.4116523,0.0,2.9802322e-08,0.0
13,-0.4384377,-0.4384377,-0.43843767,-0.4384377,0.0,2.9802322e-08,0.0
14,-0.4642468,-0.4642468,-0.46424678,-0.4642468,0.0,2.9802322e-08,0.0
15,-0.48914352,-0.48914352,-0.4891435,-0.48914352,0.0,2.9802322e-08,0.0
16,-0.5131881,-0.5131881,-0.51318806,-0.5131881,0.0,5.9604645e-08,0.0
17,-0.5364368,-0.5364368,-0.5364368,-0.5364368,0.0,0.0,0.0
18,-0.5589418,-0.5589418,-0.5589418,-0.5589418,0.0,0.0,0.0
19,-0.5807511,-0.5807511,-0.58075106,-0.5807511,0.0,5.9604645e-08,0.0
20,-0.6020066,-0.6020066,-0.6020065,-0.6020066,0.0,1.1920929e-07,0.0
