inc,u2_exact,u2_hd,u2_fd,u2_cs,err_hd,err_fd,err_cs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.07888238,-0.07888238,-0.07888238,-0.07888238,0.0,0.0,0.0
2,-0.15509053,-0.15509053,-0.15509053,-0.15509053,0.0,0.0,0.0
3,-0.226837,-0.226837,-0.226837,-0.226837,0.0,0.0,0.0
4,-0.2934182,-0.2934182,-0.2934182,-0.2934182,0.0,0.0,0.0
5,-0.35488507,-0.35488507,-0.35488507,-0.35488507,0.0,0.0,0.0
6,-0.41165218,-0.41165218,-0.41165218,-0.41165218,0.0,0.0,0.0
7,-0.46424675,-0.46424675,-0.46424675,-0.46424675,0.0,0.0,0.0
8,-0.51318806,-0.51318806,-0.51318806,-0.51318806,0.0,0.0,0.0
9,-0.5589418,-0.5589418,-0.5589418,-0.5589418,0.0,0.0,0.0
10,-0.601909,-0.601909,-0.601909,-0.601909,0.0,0.0,0.0
