frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15872894,-0.15872894,-0.1587199,-0.15872894,-0.15872894,0.0,9.045005e-06,0.0,0.0
2,-0.3174513,-0.3174513,-0.23810896,-0.3174513,-0.3174513,0.0,0.079342335,0.0,0.0
3,-0.47615743,-0.47615743,-0.27780765,-0.47615743,-0.47615743,0.0,0.19834977,0.0,0.0
4,-0.63484025,-0.63484025,-0.29767364,-0.63484025,-0.63484025,0.0,0.3371666,0.0,0.0
5,-0.79349196,-0.79349196,-0.30007905,-0.79349196,-0.79349196,0.0,0.4934129,0.0,0.0
6,-0.95210487,-0.95210487,-0.30101547,-0.95210487,-0.95210487,0.0,0.65108943,0.0,0.0
7,-1.1106713,-1.1106713,-0.30171758,-1.1106713,-1.1106713,0.0,0.8089537,0.0,0.0
8,-1.2691835,-1.2691835,-0.30241832,-1.2691835,-1.2691835,0.0,0.96676517,0.0,0.0
9,-1.4276273,-1.4276273,-0.30345547,-1.4276273,-1.4276273,0.0,1.1241719,0.0,0.0
10,-1.5860071,-1.5860071,-0.30504712,-1.5860071,-1.5860071,0.0,1.28096,0.0,0.0
11,,,-0.30504712,,,,,,
