NEL,LOAD,DT0,TOTAL,DTMIN,DTMAX,runtime_HD,ninc_HD,runtime_FD,ninc_FD,runtime_CS,ninc_CS,runtime_Exact,ninc_Exact,err_final_HD,err_rms_HD,err_final_FD,err_rms_FD,err_final_CS,err_rms_CS
4,-1000,0.1,1.0,1e-10,0.1,6.581336300820112,10,6.549831420183182,10,6.4560626950114965,10,6.598905963823199,10,0.0,0.0,0.0,1.3416407857936933e-09,0.0,0.0
16,-1000,0.1,1.0,1e-10,0.1,6.593504495918751,10,6.53989789262414,10,6.457227932289243,10,6.520305501297116,10,0.0,0.0,9.000000000813912e-08,8.031811751286145e-08,0.0,0.0
