inc,u2_exact,u2_hd,u2_fd,u2_cs,err_hd,err_fd,err_cs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.01587212,-0.01587212,-0.015872061,-0.01587212,0.0,5.9604645e-08,0.0
2,-0.031739198,-0.031739198,-0.031739052,-0.031739198,0.0,1.4528632e-07,0.0
3,-0.047594838,-0.047594838,-0.04759469,-0.047594838,0.0,1.4901161e-07,0.0
4,-0.063432775,-0.063432775,-0.063432634,-0.063432775,0.0,1.4156103e-07,0.0
5,-0.07924718,-0.07924718,-0.07924704,-0.07924718,0.0,1.3411045e-07,0.0
6,-0.09503241,-0.09503241,-0.09503228,-0.09503241,0.0,1.2665987e-07,0.0
7,-0.110782936,-0.110782936,-0.11078279,-0.110782936,0.0,1.4901161e-07,0.0
8,-0.12649335,-0.12649335,-0.12649322,-0.12649335,0.0,1.3411045e-07,0.0
9,-0.14215839,-0.14215839,-0.14215824,-0.14215839,0.0,1.4901161e-07,0.0
10,-0.15777296,-0.15777296,-0.15777282,-0.15777296,0.0,1.3411045e-07,0.0
