inc,u2_exact,u2_hd,u2_fd,u2_cs,err_hd,err_fd,err_cs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.079242215,-0.079242215,-0.0792422,-0.079242215,0.0,1.4901161e-08,0.0
2,-0.15776274,-0.15776274,-0.15776274,-0.15776274,0.0,0.0,0.0
3,-0.23491208,-0.23491208,-0.23491208,-0.23491208,0.0,0.0,0.0
4,-0.31016585,-0.31016585,-0.31016585,-0.31016585,0.0,0.0,0.0
5,-0.383148,-0.383148,-0.383148,-0.383148,0.0,0.0,0.0
6,-0.45362708,-0.45362708,-0.45362708,-0.45362708,0.0,0.0,0.0
7,-0.52149457,-0.52149457,-0.52149457,-0.52149457,0.0,0.0,0.0
8,-0.5867365,-0.5867365,-0.5867365,-0.5867365,0.0,0.0,0.0
9,-0.6494052,-0.6494052,-0.6494052,-0.6494052,0.0,0.0,0.0
10,-0.7095959,-0.7095959,-0.7095959,-0.7095959,0.0,0.0,0.0
