frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.22175464,-0.22175464,-0.22175466,-0.22175464,-0.22175464,0.0,1.4901161e-08,0.0,0.0
2,-0.44078243,-0.44078243,-0.4407829,-0.44078243,-0.44078243,0.0,4.7683716e-07,0.0,0.0
3,-0.6547184,-0.6547184,-0.6547194,-0.6547184,-0.6547184,0.0,1.013279e-06,0.0,0.0
4,-0.861797,-0.861797,-0.861798,-0.861797,-0.861797,0.0,1.013279e-06,0.0,0.0
5,-1.0609112,-1.0609112,-1.0609119,-1.0609112,-1.0609112,0.0,7.1525574e-07,0.0,0.0
6,-1.2515352,-1.2515352,-1.2515357,-1.2515352,-1.2515352,0.0,4.7683716e-07,0.0,0.0
7,-1.4335841,-1.4335841,-1.4335845,-1.4335841,-1.4335841,0.0,3.5762787e-07,0.0,0.0
8,-1.60727,-1.60727,-1.6072704,-1.60727,-1.60727,0.0,3.5762787e-07,0.0,0.0
9,-1.7729822,-1.7729822,-1.7729826,-1.7729822,-1.7729822,0.0,3.5762787e-07,0.0,0.0
10,-1.9312003,-1.9312003,-1.9312009,-1.9312003,-1.9312003,0.0,5.9604645e-07,0.0,0.0
11,-2.0824375,-2.0824375,-2.0824382,-2.0824375,-2.0824375,0.0,7.1525574e-07,0.0,0.0
12,-2.2272053,-2.2272053,-2.227206,-2.2272053,-2.2272053,0.0,7.1525574e-07,0.0,0.0
13,-2.365993,-2.365993,-2.3659937,-2.365993,-2.365993,0.0,7.1525574e-07,0.0,0.0
14,-2.4992585,-2.4992585,-2.4992592,-2.4992585,-2.4992585,0.0,7.1525574e-07,0.0,0.0
15,-2.6274238,-2.6274238,-2.6274242,-2.6274238,-2.6274238,0.0,4.7683716e-07,0.0,0.0
16,-2.7508736,-2.7508736,-2.750874,-2.7508736,-2.7508736,0.0,4.7683716e-07,0.0,0.0
17,-2.869958,-2.869958,-2.8699584,-2.869958,-2.869958,0.0,4.7683716e-07,0.0,0.0
18,-2.9849944,-2.9849944,-2.984995,-2.9849944,-2.9849944,0.0,4.7683716e-07,0.0,0.0
19,-3.0962696,-3.0962696,-3.0962698,-3.0962696,-3.0962696,0.0,2.3841858e-07,0.0,0.0
20,-3.2040434,-3.2040434,-3.2040436,-3.2040434,-3.2040434,0.0,2.3841858e-07,0.0,0.0
21,-3.308551,-3.308551,-3.3085513,-3.308551,-3.308551,0.0,2.3841858e-07,0.0,0.0
22,-3.4100058,-3.4100058,-3.410006,-3.4100058,-3.4100058,0.0,2.3841858e-07,0.0,0.0
23,-3.5086017,-3.5086017,-3.508602,-3.5086017,-3.5086017,0.0,2.3841858e-07,0.0,0.0
24,-3.604515,-3.604515,-3.6045153,-3.604515,-3.604515,0.0,2.3841858e-07,0.0,0.0
25,-3.6979067,-3.6979067,-3.6979067,-3.6979067,-3.6979067,0.0,0.0,0.0,0.0
26,-3.7889233,-3.7889233,-3.7889235,-3.7889233,-3.7889233,0.0,2.3841858e-07,0.0,0.0
27,-3.8776996,-3.8776996,-3.8776996,-3.8776996,-3.8776996,0.0,0.0,0.0,0.0
28,-3.965522,-3.965522,-3.964359,-3.965522,-3.965522,0.0,0.0011630058,0.0,0.0
29,-4.0518537,-4.0518537,-4.0490146,-4.0518537,-4.0518537,0.0,0.0028390884,0.0,0.0
30,-4.136199,-4.136199,-4.131771,-4.136199,-4.136199,0.0,0.00442791,0.0,0.0
31,-4.212725,-4.212725,-4.212725,-4.212725,-4.212725,0.0,0.0,0.0,0.0
32,-4.289618,-4.289618,-4.2919655,-4.289618,-4.289618,0.0,0.0023474693,0.0,0.0
