frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15872802,-0.15872802,-0.15872756,-0.15872802,-0.15872802,0.0,4.61936e-07,0.0,0.0
2,-0.31744385,-0.31744385,-0.31742543,-0.31744385,-0.31744385,0.0,1.8417835e-05,0.0,0.0
3,-0.4761324,-0.4761324,-0.47606853,-0.4761324,-0.4761324,0.0,6.386638e-05,0.0,0.0
4,-0.63478106,-0.63478106,-0.51566625,-0.63478106,-0.63478106,0.0,0.119114816,0.0,0.0
5,-0.79337656,-0.79337656,-0.5355375,-0.79337656,-0.79337656,0.0,0.25783908,0.0,0.0
6,-0.9519058,-0.9519058,-0.5555502,-0.9519058,-0.9519058,0.0,0.39635557,0.0,0.0
7,-1.1103555,-1.1103555,-0.5580414,-1.1103555,-1.1103555,0.0,0.5523141,0.0,0.0
8,-1.2687128,-1.2687128,-0.5580414,-1.2687128,-1.2687128,0.0,0.71067137,0.0,0.0
9,-1.4269645,-1.4269645,,-1.4269645,-1.4269645,0.0,,0.0,0.0
10,-1.5850912,-1.5850912,,-1.5850912,-1.5850912,0.0,,0.0,0.0
