inc,u2_exact,u2_hd,u2_fd,u2_cs,err_hd,err_fd,err_cs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.007936489,-0.007936489,-0.007936387,-0.007936489,0.0,1.0151416e-07,0.0
2,-0.015872862,-0.015872862,-0.015872652,-0.015872862,0.0,2.104789e-07,0.0
3,-0.023809,-0.023809,-0.023808794,-0.023809,0.0,2.0675361e-07,0.0
4,-0.031744782,-0.031744782,-0.031744577,-0.031744782,0.0,2.0489097e-07,0.0
5,-0.039680094,-0.039680094,-0.039679885,-0.039680094,0.0,2.0861626e-07,0.0
6,-0.047614805,-0.047614805,-0.047614604,-0.047614805,0.0,2.0116568e-07,0.0
7,-0.05554881,-0.05554881,-0.0555486,-0.05554881,0.0,2.0861626e-07,0.0
8,-0.06348199,-0.06348199,-0.06348177,-0.06348199,0.0,2.1606684e-07,0.0
9,-0.07141421,-0.07141421,-0.07141401,-0.07141421,0.0,2.0116568e-07,0.0
10,-0.079345375,-0.079345375,-0.07934517,-0.079345375,0.0,2.0861626e-07,0.0
11,-0.087275356,-0.087275356,-0.08727515,-0.087275356,0.0,2.0861626e-07,0.0
12,-0.09520403,-0.09520403,-0.095203824,-0.09520403,0.0,2.0861626e-07,0.0
13,-0.103131294,-0.103131294,-0.103131086,-0.103131294,0.0,2.0861626e-07,0.0
14,-0.11105702,-0.11105702,-0.11105681,-0.11105702,0.0,2.0861626e-07,0.0
15,-0.11898109,-0.11898109,-0.118980885,-0.11898109,0.0,2.0861626e-07,0.0
16,-0.1269034,-0.1269034,-0.12690319,-0.1269034,0.0,2.0861626e-07,0.0
17,-0.13482381,-0.13482381,-0.1348236,-0.13482381,0.0,2.0861626e-07,0.0
18,-0.14274225,-0.14274225,-0.14274202,-0.14274225,0.0,2.2351742e-07,0.0
19,-0.15065855,-0.15065855,-0.15065834,-0.15065855,0.0,2.0861626e-07,0.0
20,-0.15857261,-0.15857261,-0.1585724,-0.15857261,0.0,2.0861626e-07,0.0
