frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15872867,-0.15872867,-0.1587258,-0.15872867,-0.15872867,0.0,2.875924e-06,0.0,0.0
2,-0.3174491,-0.3174491,-0.31747743,-0.3174491,-0.3174491,0.0,2.8342009e-05,0.0,0.0
3,-0.47615007,-0.47615007,-0.3572086,-0.47615007,-0.47615007,0.0,0.118941456,0.0,0.0
4,-0.63482285,-0.63482285,-0.3572086,-0.63482285,-0.63482285,0.0,0.27761424,0.0,0.0
5,-0.79345804,-0.79345804,,-0.79345804,-0.79345804,0.0,,0.0,0.0
6,-0.9520463,-0.9520463,,-0.9520463,-0.9520463,0.0,,0.0,0.0
7,-1.1105783,-1.1105783,,-1.1105783,-1.1105783,0.0,,0.0,0.0
8,-1.2690449,-1.2690449,,-1.2690449,-1.2690449,0.0,,0.0,0.0
9,-1.4274304,-1.4274304,,-1.4274304,-1.4274304,0.0,,0.0,0.0
10,-1.5857373,-1.5857373,,-1.5857373,-1.5857373,0.0,,0.0,0.0
