inc,u2_exact,u2_hd,u2_fd,u2_cs,err_hd,err_fd,err_cs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.01587287,-0.01587287,-0.01587249,-0.01587287,0.0,3.799796e-07,0.0
2,-0.031744916,-0.031744916,-0.03174409,-0.031744916,0.0,8.2701445e-07,0.0
3,-0.04761513,-0.04761513,-0.047614224,-0.04761513,0.0,9.0524554e-07,0.0
4,-0.0634825,-0.0634825,-0.06348163,-0.0634825,0.0,8.7171793e-07,0.0
5,-0.07934607,-0.07934607,-0.07934524,-0.07934607,0.0,8.2701445e-07,0.0
6,-0.0952049,-0.0952049,-0.09520407,-0.0952049,0.0,8.2701445e-07,0.0
7,-0.11105806,-0.11105806,-0.11105722,-0.11105806,0.0,8.34465e-07,0.0
8,-0.1269046,-0.1269046,-0.12690377,-0.1269046,0.0,8.34465e-07,0.0
9,-0.14274362,-0.14274362,-0.1427428,-0.14274362,0.0,8.1956387e-07,0.0
10,-0.15857418,-0.15857418,-0.15857334,-0.15857418,0.0,8.34465e-07,0.0
