frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.12012071,-0.12012071,-0.12012071,-0.12012071,-0.12012071,0.0,0.0,0.0,0.0
2,-0.18498982,-0.18498982,-0.18498982,-0.18498982,-0.18498982,0.0,0.0,0.0,0.0
3,-0.23068279,-0.23068279,-0.23068279,-0.23068279,-0.23068279,0.0,0.0,0.0,0.0
4,-0.26729646,-0.26729646,-0.26729646,-0.26729646,-0.26729646,0.0,0.0,0.0,0.0
5,-0.29857925,-0.29857925,-0.29857925,-0.29857925,-0.29857925,0.0,0.0,0.0,0.0
6,-0.32632956,-0.32632956,-0.32632953,-0.32632956,-0.32632956,0.0,2.9802322e-08,0.0,0.0
7,-0.3515559,-0.3515559,-0.3515559,-0.3515559,-0.3515559,0.0,0.0,0.0,0.0
8,-0.37488666,-0.37488666,-0.37488666,-0.37488666,-0.37488666,0.0,0.0,0.0,0.0
9,-0.39673996,-0.39673996,-0.39673996,-0.39673996,-0.39673996,0.0,0.0,0.0,0.0
10,-0.41741014,-0.41741014,-0.41741014,-0.41741014,-0.41741014,0.0,0.0,0.0,0.0
