frame,u2_exact,u2_hd,u2_fd,u2_cs,u2_otis,err_hd,err_fd,err_cs,err_otis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15872943,-0.15872943,-0.15868014,-0.15872943,-0.15872943,0.0,4.929304e-05,0.0,0.0
2,-0.31745523,-0.31745523,-0.16121969,-0.31745523,-0.31745523,0.0,0.15623555,0.0,0.0
3,-0.47617072,-0.47617072,-0.16307728,-0.47617072,-0.47617072,0.0,0.31309342,0.0,0.0
4,-0.6348717,-0.6348717,-0.16493249,-0.6348717,-0.6348717,0.0,0.46993923,0.0,0.0
5,-0.7935534,-0.7935534,-0.16679068,-0.7935534,-0.7935534,0.0,0.62676275,0.0,0.0
6,-0.9522109,-0.9522109,-0.1695824,-0.9522109,-0.9522109,0.0,0.78262854,0.0,0.0
7,-1.1108395,-1.1108395,-0.17377502,-1.1108395,-1.1108395,0.0,0.93706447,0.0,0.0
8,-1.2694343,-1.2694343,-0.18002944,-1.2694343,-1.2694343,0.0,1.089405,0.0,0.0
9,-1.4279838,-1.4279838,-0.18633202,-1.4279838,-1.4279838,0.0,1.2416518,0.0,0.0
10,-1.5864958,-1.5864958,-0.1894443,-1.5864958,-1.5864958,0.0,1.3970515,0.0,0.0
11,,,-0.1918251,,,,,,
12,,,-0.1918251,,,,,,
